zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
12458,US,NY,New York,Ulster,41.75899999999999,-74.3804,KN89,41.727901458699996,-74.37740325930001,3.4669266201170825
12459,US,NY,New York,Delaware,42.2094,-74.6837,1NK0,42.29729843139648,-74.54820251464844,14.82886995050331
12460,US,NY,New York,Greene,42.4098,-74.1524,K1I5,42.36429977416992,-74.06600189208984,8.71482790646084
12461,US,NY,New York,Ulster,41.875,-74.2734,6NY7,41.86539840698242,-74.33290100097656,5.041171821977027
12463,US,NY,New York,Greene,42.1729,-74.0167,2NY0,42.28060150146485,-73.9529037475586,13.077241982509832
12464,US,NY,New York,Ulster,42.0848,-74.3154,97NY,42.23429870605469,-74.23760223388672,17.81746117969336
12465,US,NY,New York,Ulster,42.1331,-74.4802,N00,42.27230072021485,-74.39399719238281,17.029354077959443
12466,US,NY,New York,Ulster,41.8948,-73.9767,K20N,41.985298156700004,-73.96410369870001,10.116726472107985
12468,US,NY,New York,Greene,42.2979,-74.3895,N00,42.27230072021485,-74.39399719238281,2.870450001521931
12469,US,NY,New York,Albany,42.4563,-74.242,NY86,42.51259994506836,-74.11489868164062,12.158141577951628
12470,US,NY,New York,Greene,42.2959,-74.0773,K1I5,42.36429977416992,-74.06600189208984,7.662203710409137
12471,US,NY,New York,Ulster,41.8403,-74.0306,NK08,41.8317985534668,-74.12989807128906,8.280633022292033
12472,US,NY,New York,Ulster,41.8402,-74.07300000000001,NK08,41.8317985534668,-74.12989807128906,4.805489391668281
12473,US,NY,New York,Greene,42.2678,-74.0523,2NY0,42.28060150146485,-73.9529037475586,8.300975628559785
12474,US,NY,New York,Delaware,42.2957,-74.5631,1NK0,42.29729843139648,-74.54820251464844,1.2381093729734254
12475,US,NY,New York,Ulster,42.0176,-74.0079,18NY,42.01649856567383,-74.04900360107422,3.3978500267992384
12477,US,NY,New York,Ulster,42.0738,-73.9797,18NY,42.01649856567383,-74.04900360107422,8.5643255163168
12480,US,NY,New York,Ulster,42.1363,-74.3774,N00,42.27230072021485,-74.39399719238281,15.184256134684125
12481,US,NY,New York,Ulster,41.9767,-74.2119,18NY,42.01649856567383,-74.04900360107422,14.17024268045893
12482,US,NY,New York,Greene,42.2681,-73.9554,2NY0,42.28060150146485,-73.9529037475586,1.4051940125103328
12483,US,NY,New York,Ulster,41.6639,-74.4245,KN82,41.59719848632813,-74.45829772949219,7.93097824722067
12484,US,NY,New York,Ulster,41.8616,-74.1697,NK08,41.8317985534668,-74.12989807128906,4.674465699931206
12485,US,NY,New York,Greene,42.1956,-74.1338,97NY,42.23429870605469,-74.23760223388672,9.570495985637091
12486,US,NY,New York,Ulster,41.8338,-74.0626,NK08,41.8317985534668,-74.12989807128906,5.580132434530698
12487,US,NY,New York,Ulster,41.8651,-73.9948,09N,41.83259963989258,-73.8759994506836,10.482862878630987
12489,US,NY,New York,Ulster,41.7606,-74.3535,KN89,41.727901458699996,-74.37740325930001,4.141581381321327
12490,US,NY,New York,Ulster,42.1087,-73.9346,NK06,42.09619903564453,-73.85540008544922,6.680274751327436
12491,US,NY,New York,Ulster,41.9973,-74.1049,18NY,42.01649856567383,-74.04900360107422,5.087953606517886
12492,US,NY,New York,Greene,42.2046,-74.362,N00,42.27230072021485,-74.39399719238281,7.975527163921985
12493,US,NY,New York,Ulster,41.7953,-73.9809,09N,41.83259963989258,-73.8759994506836,9.63231195163969
12494,US,NY,New York,Ulster,41.9673,-74.2871,6NY7,41.86539840698242,-74.33290100097656,11.947883829283006
12495,US,NY,New York,Ulster,42.0849,-74.2407,97NY,42.23429870605469,-74.23760223388672,16.61434035115014
12496,US,NY,New York,Greene,42.3175,-74.262,97NY,42.23429870605469,-74.23760223388672,9.466822149269166
12498,US,NY,New York,Ulster,42.0348,-74.112,18NY,42.01649856567383,-74.04900360107422,5.587322745368858
12501,US,NY,New York,Dutchess,41.8447,-73.5542,41NK,41.947778,-73.518055,11.845750406500231
12502,US,NY,New York,Columbia,42.0851,-73.6424,3NK8,42.14059829711914,-73.61190032958984,6.66425160757028
12503,US,NY,New York,Columbia,42.0381,-73.5819,82NY,42.001389,-73.67111,8.424527132019033
12504,US,NY,New York,Dutchess,42.0354,-73.9092,9NK4,42.024318,-73.85629200000001,4.540361308754971
12506,US,NY,New York,Dutchess,41.8756,-73.6912,0NK8,41.9208984375,-73.67040252685547,5.322957845309897
12507,US,NY,New York,Dutchess,42.0005,-73.9199,K20N,41.985298156700004,-73.96410369870001,4.025260798688916
12508,US,NY,New York,Dutchess,41.5097,-73.9634,NY09,41.56119918823242,-74.01629638671875,7.223356592492151
12510,US,NY,New York,Dutchess,41.6712,-73.7632,1NY5,41.63899993896485,-73.7428970336914,3.957913299445533
12511,US,NY,New York,Dutchess,41.5462,-73.9596,NY09,41.56119918823242,-74.01629638671875,5.003893237465502
